number,state,created,closed,component,type,root_cause,severity,affected_release,resolution,confidence,note
320,CLOSED,2026-03-01,2026-03-03,format-maven,defect,auth-logic,wrong-result,yes,fixed,med,"Uploads to private (is_public=false) Maven repo return 404; switching to public works"
321,CLOSED,2026-03-01,2026-03-03,format-maven,defect,db-schema-query,wrong-result,yes,fixed,med,"SNAPSHOT re-upload blocked by select where isDeleted=false; soft-deleted row can never be reused"
322,CLOSED,2026-03-01,2026-03-01,format-oci-docker,defect,path-normalization,degraded,yes,fixed,med,"docker login 401 via reverse proxy; /v2 (no trailing slash) returns 401 while direct backend /v2/ works"
333,CLOSED,2026-03-02,2026-03-03,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Repositories API returns private repos to unauthenticated users; missing filter"
340,CLOSED,2026-03-03,2026-03-07,storage-cas,feature,n/a,none,no,fixed,high,"Add GCS ADC/Workload Identity auth path so key files aren't required on GKE"
341,CLOSED,2026-03-03,2026-03-03,format-cargo,defect,path-normalization,wrong-result,yes,fixed,high,"Cargo sparse index proxy adds wrong index/ prefix to upstream URLs; no index/download host split"
343,CLOSED,2026-03-03,2026-03-03,storage-cas,defect,error-handling,outage-oom,yes,fixed,med,"Backend panics on startup with S3 backend using IRSA/ADC authentication"
344,CLOSED,2026-03-03,2026-03-04,virtual-repo,refactor,n/a,none,no,fixed,high,"Deduplicate inline virtual member SQL in npm/pypi handlers via shared fetch_virtual_members"
345,CLOSED,2026-03-03,2026-03-07,virtual-repo,refactor,n/a,none,no,fixed,high,"Add shared resolve_virtual_metadata helper to unify per-handler virtual member iteration"
346,CLOSED,2026-03-03,2026-04-12,virtual-repo,enhancement,n/a,none,no,fixed,high,"Add virtual repo merging for hex list_names/list_versions (needs protobuf decode/re-encode)"
360,CLOSED,2026-03-04,2026-03-05,ci-cd-release,automated-report,n/a,none,no,fixed,high,"Bot-filed nightly E2E test failure notification"
361,CLOSED,2026-03-04,2026-03-23,format-maven,defect,path-normalization,wrong-result,yes,fixed,high,"Maven deploy with paths fails; uploaded jar lands at root not given GAV path"
363,CLOSED,2026-03-04,2026-03-04,format-maven,defect,db-schema-query,wrong-result,yes,fixed,med,"Staging section shows all repos instead of only promotable staging repos"
368,CLOSED,2026-03-05,2026-03-05,config-deploy,defect,config-error,degraded,yes,fixed,med,"Quick start broken: wrong Caddyfile curl URL, Dockerfile path mismatch, dtrack DB schema fail"
378,CLOSED,2026-03-05,2026-03-05,other,question,n/a,none,no,fixed,high,"Reporter nudge that security advisories with PoCs/fix PRs are awaiting triage"
380,CLOSED,2026-03-05,2026-03-05,storage-cas,defect,path-normalization,security,yes,fixed,high,"Path traversal in FilesystemStorage key_to_path; unsanitized keys allow arbitrary file r/w/del"
381,CLOSED,2026-03-05,2026-03-05,edge-replication,defect,auth-logic,security,yes,fixed,high,"/peers/identity returns peer api_key in plaintext to any authenticated user, no admin guard"
382,CLOSED,2026-03-05,2026-03-05,edge-replication,defect,auth-logic,security,yes,fixed,high,"announce_peer/heartbeat lack ownership proof; attacker can overwrite peer endpoint/api_key"
383,CLOSED,2026-03-05,2026-03-05,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"gRPC interceptor does authn only, no authz; any user can call admin ops like delete_sbom"
384,CLOSED,2026-03-05,2026-03-05,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Admin password file written world-readable (0o644) instead of 0o600"
385,CLOSED,2026-03-05,2026-03-05,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Timing side-channel in API token validation: revocation early-return before bcrypt"
386,CLOSED,2026-03-05,2026-03-05,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"AuditService exists but auth handlers never log login/logout/token events; audit gap"
395,CLOSED,2026-03-06,2026-03-11,config-deploy,question,config-error,none,no,not-a-bug,high,"Podman setup: backend reports trivy/meili/openscap/dtrack unhealthy; user misconfig, not a bug"
398,CLOSED,2026-03-07,2026-03-07,ci-cd-release,automated-report,n/a,none,no,fixed,high,"Bot-filed nightly E2E test failure notification"
403,CLOSED,2026-03-08,2026-04-15,sbom-scanning,security-hardening,upstream-dependency,security,yes,fixed,high,"Go stdlib CVEs in bundled trivy/grype binaries; awaiting upstream rebuilds"
408,CLOSED,2026-03-09,2026-03-20,ci-cd-release,automated-report,n/a,none,no,fixed,high,"Weekly Trivy container scan reporting 20 CRITICAL/HIGH findings with fixes"
414,CLOSED,2026-03-11,2026-03-11,format-maven,defect,format-compat,wrong-result,yes,fixed,high,"SNAPSHOT checksum requests return XML/HTML instead of plain hash; lookup path mismatch"
415,CLOSED,2026-03-11,2026-03-11,format-maven,defect,design-gap-other,degraded,yes,fixed,high,"Maven POM+JAR uploaded under same GAV not grouped as single package in UI"
427,CLOSED,2026-03-12,2026-03-16,format-maven,defect,format-compat,wrong-result,yes,fixed,med,"Maven pull-through cache fails to serve plugin POM/JAR from remote repo"
428,CLOSED,2026-03-12,2026-03-14,storage-cas,question,n/a,none,no,fixed,high,"User asks whether per-repo storage backends (S3 vs local filesystem) are possible"
437,CLOSED,2026-03-16,2026-04-13,ui-web,enhancement,n/a,none,no,fixed,high,"Want UI editing of existing repo format and remote upstream URL instead of delete/recreate"
443,CLOSED,2026-03-17,2026-03-18,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request to keep local/admin login usable when SSO is enabled to avoid lockout"
450,CLOSED,2026-03-18,2026-03-18,virtual-repo,defect,ui-bug,degraded,yes,fixed,med,"Maven virtual repo members added but UI shows none configured; resolution not working"
451,CLOSED,2026-03-18,2026-03-19,proxy-remote,feature,n/a,none,unknown,fixed,high,"Request to add optional username/password/token auth for remote pull-through upstream repos"
452,CLOSED,2026-03-18,2026-03-19,auth-rbac-sso,defect,config-error,degraded,yes,fixed,low,"LDAPS to Active Directory fails with SSL error; backend may not trust private CA cert"
453,CLOSED,2026-03-18,2026-03-19,auth-rbac-sso,defect,path-normalization,degraded,yes,fixed,med,"Keycloak OIDC 'Sign in' redirects to 404 at /auth/sso/oidc/{id}/login"
456,CLOSED,2026-03-18,2026-03-19,format-oci-docker,defect,auth-logic,degraded,yes,fixed,med,"curl -u admin to /v2 base endpoint returns UNAUTHORIZED though docker login/push/pull work"
458,CLOSED,2026-03-18,2026-03-20,proxy-remote,feature,n/a,none,unknown,fixed,high,"Request to honor HTTPS_PROXY env var for remote repo upstream fetches"
461,CLOSED,2026-03-19,2026-04-01,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"Maven virtual repo members not saved on create, UI doesn't list members, private virtual repo 401s"
462,CLOSED,2026-03-19,2026-04-24,search-indexing,feature,n/a,none,unknown,fixed,high,"Request to support OpenSearch as search backend for HA (Meilisearch HA is Enterprise-only)"
463,CLOSED,2026-03-19,2026-03-20,config-deploy,question,n/a,none,unknown,fixed,high,"User asks how to deploy backend in High-Availability setup; docs/guidance request"
467,CLOSED,2026-03-19,2026-03-20,storage-cas,question,n/a,none,unknown,fixed,high,"User asks how GC_RETENTION_DAYS interacts with lifecycle soft-delete and GC"
472,CLOSED,2026-03-20,2026-04-12,sbom-scanning,feature,n/a,none,unknown,fixed,high,"Request for configurable quarantine period for newly published upstream artifacts before consumption"
476,CLOSED,2026-03-20,2026-03-20,config-deploy,defect,config-error,degraded,yes,fixed,high,"dtrack-init (UID 1001) can't write API key to root-owned shared_config volume; backend hangs"
477,CLOSED,2026-03-20,2026-03-20,config-deploy,defect,build-ci,degraded,yes,fixed,high,"init-pg-ssl.sh uses bash shebang/bashisms; fails on postgres:16-alpine so PG starts without SSL"
483,CLOSED,2026-03-20,2026-03-20,proxy-remote,defect,design-gap-other,degraded,yes,fixed,high,"Remote repos never fetch upstream for Docker/PyPI; upstream_url dropped, no outbound requests"
487,CLOSED,2026-03-20,2026-03-20,config-deploy,feature,n/a,none,unknown,fixed,high,"Add configurable MAX_UPLOAD_SIZE env var replacing hardcoded 512MB body limit"
491,CLOSED,2026-03-20,2026-03-20,format-generic,defect,inv-lifecycle-gc,data-loss,yes,fixed,high,"Generic re-upload after delete returns 200 but soft-deleted row blocks recreation; artifact missing"
495,CLOSED,2026-03-20,2026-03-20,format-pypi,defect,format-compat,degraded,yes,fixed,high,"PyPI remote simple index keeps upstream files.pythonhosted.org URLs; files bypass AK caching"
496,CLOSED,2026-03-20,2026-04-12,api-routing,feature,n/a,none,unknown,fixed,high,"Add GET /api/v1/system/config endpoint exposing public runtime config to UI/clients"
502,CLOSED,2026-03-21,2026-03-24,docs,enhancement,n/a,none,unknown,fixed,high,"Request for Windows Server install docs and CLI auto-provisioning/Windows Service support"
503,CLOSED,2026-03-21,2026-03-22,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"JWT alg=none and invalid signatures accepted; full authentication bypass"
504,CLOSED,2026-03-21,2026-03-22,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"API token repo scope (allowed_repo_ids) not enforced; scoped token can access other repos"
505,CLOSED,2026-03-21,2026-03-22,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Sessions/JWTs not invalidated after password change; old password still works"
506,CLOSED,2026-03-21,2026-03-22,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Default admin:admin credentials accepted in production config"
507,CLOSED,2026-03-21,2026-03-22,storage-cas,defect,data-integrity,security,yes,fixed,high,"Upload with wrong declared SHA-256 not rejected; checksum integrity not enforced"
508,CLOSED,2026-03-21,2026-03-22,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Unauthenticated format upload endpoints return 404 instead of 401; auth middleware not applied to all routes"
509,CLOSED,2026-03-21,2026-03-22,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"Virtual repo listing omits local member artifacts, weakening dependency confusion protection"
514,CLOSED,2026-03-21,2026-03-23,proxy-remote,defect,config-error,degraded,yes,fixed,med,"HTTPS_PROXY env not used by remote repo fetches; upstream never queried, client gets 404"
518,CLOSED,2026-03-22,2026-03-23,auth-rbac-sso,defect,path-normalization,degraded,yes,fixed,med,"OIDC SSO callback to Authentik returns 404 on /api/v1/auth/sso/oidc/callback"
529,CLOSED,2026-03-23,2026-04-12,ci-cd-release,automated-report,n/a,none,unknown,fixed,high,"Weekly Trivy container scan found 10 CRITICAL/HIGH fixable findings in backend images"
530,CLOSED,2026-03-23,2026-03-23,auth-rbac-sso,defect,path-normalization,degraded,yes,fixed,med,"SSO OIDC callback returns 404 at /auth/callback; login fails to complete"
532,CLOSED,2026-03-23,2026-03-24,format-maven,defect,format-compat,wrong-result,yes,fixed,high,"Maven remote proxy returns 404 for .md5/.sha1 checksums instead of fetching them from upstream"
534,CLOSED,2026-03-23,2026-03-23,config-deploy,security-hardening,error-handling,security,unknown,fixed,high,"Config struct derives Debug, can log jwt_secret/db_url/oidc_secret in plaintext"
535,CLOSED,2026-03-23,2026-03-23,plugins-wasm,defect,auth-logic,security,unknown,fixed,high,"format handler enable/disable uses optional_auth, any user can toggle handlers"
536,CLOSED,2026-03-23,2026-03-23,format-oci-docker,defect,auth-logic,security,unknown,fixed,high,"OCI v2 token endpoint bypasses TOTP 2FA for docker login"
537,CLOSED,2026-03-23,2026-03-23,auth-rbac-sso,security-hardening,validation-input,security,unknown,fixed,high,"JWT_SECRET accepts weak/placeholder values with no length/entropy validation"
538,CLOSED,2026-03-23,2026-03-23,config-deploy,security-hardening,config-error,security,unknown,fixed,high,"missing .dockerignore sends .env/.git/.sqlx secrets into Docker build context"
539,CLOSED,2026-03-23,2026-03-24,ci-cd-release,dependency,n/a,security,unknown,fixed,high,"vulnerable deps aws-lc-sys, rsa 0.9.10 (Marvin), rustls-webpki need bump"
540,CLOSED,2026-03-23,2026-03-24,auth-rbac-sso,security-hardening,validation-input,none,no,fixed,high,"weak password policy: 8 char min, no complexity/max-length/common-password checks"
541,CLOSED,2026-03-23,2026-03-24,rate-limiting,enhancement,n/a,none,no,fixed,high,"in-memory rate limiter not shared across replicas, limit multiplied per instance"
542,CLOSED,2026-03-23,2026-03-24,ci-cd-release,security-hardening,build-ci,none,no,fixed,high,"GitHub Actions pinned by mutable version tag not SHA, supply-chain risk"
543,CLOSED,2026-03-23,2026-03-24,database-migrations,enhancement,n/a,none,no,fixed,high,"request SKIP_MIGRATIONS option and rollback/health-check for auto-migrations on startup"
544,CLOSED,2026-03-23,2026-03-24,observability,security-hardening,error-handling,security,unknown,fixed,high,"TraceLayer logs full URLs with sensitive token/key query params in plaintext"
545,CLOSED,2026-03-23,2026-03-24,config-deploy,security-hardening,config-error,security,unknown,fixed,high,"ENVIRONMENT defaults to development in prod compose, relaxed CORS/verbose logging"
546,CLOSED,2026-03-23,2026-03-24,config-deploy,security-hardening,config-error,security,unknown,fixed,high,"hardcoded DATABASE_URL credentials in Dockerfile ENV visible via docker inspect"
547,CLOSED,2026-03-23,2026-03-24,ci-cd-release,security-hardening,build-ci,none,no,fixed,high,"cargo audit runs continue-on-error in CI, vulnerable deps don't block merges"
548,CLOSED,2026-03-23,2026-03-23,auth-rbac-sso,defect,auth-logic,security,unknown,duplicate,high,"duplicate of 550: SAML assertion signature verification not implemented"
549,CLOSED,2026-03-23,2026-03-23,auth-rbac-sso,defect,auth-logic,security,unknown,duplicate,high,"duplicate of 551: gRPC interceptor missing token invalidation check"
550,CLOSED,2026-03-23,2026-03-23,auth-rbac-sso,defect,auth-logic,security,unknown,fixed,high,"SAML assertion signature verification not implemented, allows assertion forgery"
551,CLOSED,2026-03-23,2026-03-23,auth-rbac-sso,defect,auth-logic,security,unknown,fixed,high,"gRPC auth interceptor skips is_token_invalidated, revoked JWTs work until expiry"
552,CLOSED,2026-03-23,2026-03-23,api-routing,security-hardening,auth-logic,security,unknown,fixed,high,"Swagger UI served without auth in production, exposes full API surface"
553,CLOSED,2026-03-23,2026-03-24,api-routing,defect,error-handling,degraded,unknown,fixed,high,"inconsistent error responses: 168 plain-text vs 95 JSON, clients cannot parse reliably"
554,CLOSED,2026-03-23,2026-03-24,api-routing,defect,performance-scaling,degraded,unknown,fixed,high,"gRPC server creates duplicate PgPool wasting 20 db connections instead of cloning"
555,CLOSED,2026-03-23,2026-03-24,database-migrations,defect,performance-scaling,degraded,unknown,fixed,high,"N+1 (2N+1) queries in CurationService::re_evaluate_pending under load"
556,CLOSED,2026-03-23,2026-03-24,auth-rbac-sso,defect,auth-logic,degraded,unknown,fixed,high,"require_admin returns 401 instead of 403 for non-admin in 3 handler modules"
557,CLOSED,2026-03-23,2026-03-24,format-pypi,defect,path-normalization,wrong-result,yes,fixed,high,"PyPI metadata cache key has double slash, fails on S3/RGW storage"
563,CLOSED,2026-03-24,2026-03-27,format-generic,feature,n/a,none,no,fixed,high,"request chunked/resumable upload for multi-GB artifacts; 21GB OVA fails with connection reset"
567,CLOSED,2026-03-24,2026-03-25,storage-cas,defect,upstream-dependency,degraded,yes,fixed,high,"rust-s3 upgrade broke self-signed/custom CA support for S3 backend; no way to specify cert"
570,CLOSED,2026-03-25,2026-04-12,observability,enhancement,n/a,none,no,fixed,high,"request optional unauthenticated metrics endpoint on separate port for k8s scrapers"
583,CLOSED,2026-03-26,2026-04-12,auth-rbac-sso,defect,path-normalization,degraded,yes,fixed,high,"SSO callback redirect path /auth/callback mismatches frontend /callback route, 404 after login"
584,CLOSED,2026-03-26,2026-03-27,format-oci-docker,defect,format-compat,wrong-result,yes,fixed,med,"docker pull from docker remote repo fails to resolve reference / not found"
585,CLOSED,2026-03-26,2026-03-28,config-deploy,defect,config-error,degraded,yes,fixed,high,"docker-compose references non-existent aquasec/trivy:latest tag; compose up fails to pull"
592,CLOSED,2026-03-28,2026-03-28,auth-rbac-sso,defect,db-schema-query,wrong-result,yes,fixed,high,"Service account token listing missing revoked_at IS NULL filter, shows revoked tokens"
593,CLOSED,2026-03-28,2026-03-28,auth-rbac-sso,defect,auth-logic,degraded,yes,fixed,high,"/v2/token does not accept API tokens as Basic Auth password for service accounts"
594,CLOSED,2026-03-28,2026-03-28,format-oci-docker,defect,error-handling,cosmetic,yes,fixed,high,"Manifest pushed log line duplicates image name"
595,CLOSED,2026-03-28,2026-03-28,format-oci-docker,defect,error-handling,degraded,yes,fixed,high,"Manifest INSERT error swallowed via let _=, push returns 201 but artifact missing"
596,CLOSED,2026-03-28,2026-03-28,format-oci-docker,defect,inv-lifecycle-gc,wrong-result,yes,fixed,high,"Re-push of deleted image does not reset is_deleted, hidden from UI/API listing"
602,CLOSED,2026-03-29,2026-03-30,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"PyPI virtual repo skips remote find_upstream_url_for_file logic, download fails"
603,CLOSED,2026-03-29,2026-03-30,format-pypi,defect,cache-correctness,degraded,yes,fixed,high,"PyPI remote always queries upstream metadata when serving cached files"
